Filename,Diff_3_4,Diff_4_5
000000006037.tif,0.10447311401367188,0.0028352737426757812
000000003525.tif,0.10595703125,0.07675838470458984
000000003514.tif,0.14691925048828125,0.11085987091064453
000000006675.tif,0.07905101776123047,0.1500701904296875
000000005990.tif,0.17252349853515625,0.0274200439453125
000000006265.tif,0.10382652282714844,0.042507171630859375
000000007953.tif,0.1740264892578125,0.06524085998535156
000000003807.tif,0.11673641204833984,0.00112152099609375
000000007712.tif,0.0015592575073242188,0.2682323455810547
000000004482.tif,0.008517265319824219,0.10530567169189453
000000005999.tif,0.13652324676513672,0.05643272399902344
000000003535.tif,0.0008459091186523438,0.21541118621826172
000000003512.tif,0.11442375183105469,0.05782890319824219
000000003833.tif,0.12647151947021484,0.004866600036621094
000000003518.tif,0.1004638671875,0.05710887908935547
000000006938.tif,0.04877471923828125,0.10711956024169922


